epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
93,795.001,0.95901,0.57727,1.08009,0.75011,0.78712,0.85398,0.56006,1.22754,0.85087,1.16028,0.000151399,0.000151399,0.000151399
94,803.026,0.95996,0.60059,1.08699,0.77652,0.80586,0.86764,0.5769,1.15367,0.83842,1.13988,0.000150023,0.000150023,0.000150023
95,811.78,0.98352,0.58811,1.09139,0.86109,0.8472,0.91455,0.57014,1.29399,0.73296,1.16924,0.000148647,0.000148647,0.000148647
96,820.592,0.96523,0.59743,1.08492,0.82705,0.79448,0.88954,0.5899,1.16129,0.7943,1.16411,0.00014727,0.00014727,0.00014727
97,828.678,0.96157,0.585,1.08244,0.83101,0.8252,0.88729,0.59474,1.15297,0.78076,1.14262,0.000145894,0.000145894,0.000145894
98,837.328,0.92151,0.57046,1.0684,0.79187,0.79324,0.86445,0.56585,1.21056,0.87779,1.16716,0.000144518,0.000144518,0.000144518
99,846.045,0.95145,0.58329,1.07843,0.75627,0.81563,0.86637,0.56492,1.21739,0.87216,1.1658,0.000143142,0.000143142,0.000143142
100,854.043,0.94513,0.56852,1.07865,0.8243,0.81722,0.88663,0.59252,1.15021,0.77744,1.14918,0.000141766,0.000141766,0.000141766
101,862.696,0.92694,0.56991,1.06841,0.79699,0.77821,0.86393,0.57316,1.17718,0.82822,1.14652,0.00014039,0.00014039,0.00014039
102,871.486,0.93935,0.56241,1.06899,0.77676,0.79717,0.86804,0.58294,1.1472,0.79962,1.14831,0.000139014,0.000139014,0.000139014
103,879.599,0.94999,0.58029,1.07046,0.78327,0.80073,0.86673,0.57869,1.18089,0.82694,1.15124,0.000137638,0.000137638,0.000137638
104,888.353,0.97894,0.58244,1.09377,0.74778,0.80523,0.84088,0.53601,1.27741,0.88404,1.1671,0.000136262,0.000136262,0.000136262
105,897.304,0.9492,0.57036,1.07559,0.81301,0.8206,0.88284,0.57579,1.23745,0.79284,1.16866,0.000134886,0.000134886,0.000134886
106,905.309,0.94691,0.58041,1.07231,0.83192,0.82467,0.88804,0.5659,1.26827,0.79177,1.17256,0.00013351,0.00013351,0.00013351
107,913.924,0.90839,0.55247,1.0608,0.75912,0.78588,0.83171,0.55291,1.17471,0.92516,1.14795,0.000132133,0.000132133,0.000132133
108,922.609,0.9271,0.55556,1.06376,0.84245,0.84874,0.9136,0.61625,1.13937,0.70763,1.13785,0.000130757,0.000130757,0.000130757
109,930.635,0.94105,0.57992,1.0723,0.79724,0.85239,0.89255,0.59377,1.16872,0.76265,1.14288,0.000129381,0.000129381,0.000129381
110,939.241,0.92345,0.53922,1.0594,0.75471,0.80557,0.85928,0.53392,1.32178,0.87303,1.17844,0.000128005,0.000128005,0.000128005
111,948.072,0.90659,0.54599,1.05268,0.83203,0.81814,0.90938,0.61845,1.13817,0.73394,1.13597,0.000126629,0.000126629,0.000126629
112,956.339,0.93538,0.56805,1.06756,0.7862,0.80167,0.86915,0.56473,1.24437,0.86776,1.1599,0.000125253,0.000125253,0.000125253
113,965.095,0.91659,0.56214,1.06259,0.73146,0.79885,0.84676,0.57939,1.13261,0.90888,1.1395,0.000123877,0.000123877,0.000123877
114,973.739,0.91724,0.54477,1.05818,0.80708,0.82244,0.89012,0.60354,1.14444,0.79312,1.14379,0.000122501,0.000122501,0.000122501
115,981.719,0.90476,0.56304,1.06302,0.75888,0.8211,0.87306,0.59053,1.14379,0.806,1.14518,0.000121125,0.000121125,0.000121125
116,990.347,0.91569,0.55553,1.06386,0.84102,0.78094,0.89343,0.57062,1.26462,0.7745,1.1667,0.000119749,0.000119749,0.000119749
117,999,0.90315,0.547,1.05913,0.844,0.77264,0.88549,0.57197,1.2412,0.77988,1.15991,0.000118372,0.000118372,0.000118372
118,1006.99,0.90827,0.55129,1.06128,0.81351,0.787,0.87569,0.56021,1.27093,0.8796,1.17061,0.000116996,0.000116996,0.000116996
